,relevance_r,relevance_g,relevance_b,group,r_0,g_0,b_0,r_1,g_1,b_1,r_2,g_2,b_2,r_3,g_3,b_3,r_4,g_4,b_4,r_5,g_5,b_5,r_6,g_6,b_6,r_7,g_7,b_7,r_8,g_8,b_8,r_9,g_9,b_9
29,0,0,0,9,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1,7,9,1
30,0,0,0,0,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1
31,0,0,0,1,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1
32,0,0,0,2,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1
33,3,5,3,3,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1
34,5,3,3,4,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1
35,0,0,0,5,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1
36,0,0,0,6,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1
37,0,0,0,7,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1
38,0,0,0,8,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1
39,3,3,5,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1,9,4,1
40,0,0,0,0,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1
41,0,0,0,1,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1
42,0,0,0,2,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1
43,0,0,0,3,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1
44,0,0,0,4,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1
45,0,0,0,5,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1
46,5,3,3,6,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1
47,3,5,3,7,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1
48,0,0,0,8,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1
49,3,3,5,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4,6,1,1
50,0,0,0,0,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4
51,0,0,0,1,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4
52,0,0,0,2,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4
53,0,0,0,3,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4
54,0,0,0,4,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4
55,0,0,0,5,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4
56,5,3,3,6,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4
57,0,0,0,7,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4
58,3,5,5,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4
59,0,0,0,9,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1,1,4,4
60,0,0,0,0,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1
61,5,3,3,1,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1
62,0,0,0,2,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1
63,0,0,0,3,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1
64,0,0,0,4,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1
65,0,0,0,5,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1
66,0,0,0,6,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1
67,3,5,5,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1
68,0,0,0,8,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1
69,0,0,0,9,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5,4,7,1
70,0,0,0,0,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5
71,0,0,0,1,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5
72,5,3,3,2,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5
73,0,0,0,3,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5
74,3,3,5,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5
75,0,0,0,5,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5
76,3,5,3,6,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5
77,0,0,0,7,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5
78,0,0,0,8,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5
79,0,0,0,9,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8,5,0,5
80,0,0,0,0,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8
81,0,0,0,1,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8
82,0,0,0,2,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8
83,0,0,0,3,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8
84,0,0,0,4,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8
85,5,3,3,5,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8
86,0,0,0,6,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8
87,3,3,5,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8
88,0,0,0,8,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8
89,3,5,3,9,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7,8,2,8
90,3,3,5,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7
91,0,0,0,1,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7
92,5,3,3,2,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7
93,0,0,0,3,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7
94,0,0,0,4,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7
95,0,0,0,5,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7
96,0,0,0,6,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7
97,3,5,3,7,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7
98,0,0,0,8,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7
99,0,0,0,9,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8,6,0,7
100,5,3,3,0,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8
101,0,0,0,1,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8
102,0,0,0,2,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8
103,0,0,0,3,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8
104,0,0,0,4,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8
105,0,0,0,5,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8
106,3,3,5,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8
107,0,0,0,7,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8
108,3,5,3,8,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8
109,0,0,0,9,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7,8,7,8
110,0,0,0,0,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7
111,0,0,0,1,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7
112,0,0,0,2,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7
113,3,5,3,3,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7
114,0,0,0,4,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7
115,0,0,0,5,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7
116,3,3,5,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7
117,0,0,0,7,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7
118,0,0,0,8,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7
119,5,3,3,9,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6,4,7,7
120,0,0,0,0,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6
121,0,0,0,1,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6
122,5,3,3,2,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6
123,0,0,0,3,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6
124,0,0,0,4,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6
125,0,0,0,5,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6
126,0,0,0,6,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6
127,3,3,5,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6
128,3,5,3,8,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6
129,0,0,0,9,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9,4,7,6
130,0,0,0,0,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9
131,5,3,3,1,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9
132,3,3,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9
133,0,0,0,3,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9
134,0,0,0,4,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9
135,3,5,3,5,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9
136,0,0,0,6,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9
137,0,0,0,7,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9
138,0,0,0,8,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9
139,0,0,0,9,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9,4,3,9
140,0,0,0,0,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9
141,0,0,0,1,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9
142,5,3,3,2,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9
143,0,0,0,3,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9
144,3,5,3,4,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9
145,0,0,0,5,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9
146,0,0,0,6,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9
147,3,3,5,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9
148,0,0,0,8,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9
149,0,0,0,9,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8,6,7,9
150,0,0,0,0,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8
151,0,0,0,1,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8
152,0,0,0,2,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8
153,0,0,0,3,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8
154,0,0,0,4,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8
155,0,0,0,5,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8
156,0,0,0,6,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8
157,5,3,3,7,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8
158,3,3,5,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8
159,3,5,3,9,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7,6,8,8
160,3,5,3,0,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7
161,3,3,5,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7
162,0,0,0,2,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7
163,0,0,0,3,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7
164,0,0,0,4,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7
165,0,0,0,5,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7
166,0,0,0,6,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7
167,0,0,0,7,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7
168,5,3,3,8,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7
169,0,0,0,9,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4,1,7,7
170,0,0,0,0,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4
171,0,0,0,1,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4
172,0,0,0,2,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4
173,0,0,0,3,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4
174,5,3,3,4,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4
175,3,3,5,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4
176,0,0,0,6,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4
177,0,0,0,7,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4
178,3,5,3,8,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4
179,0,0,0,9,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7,2,6,4
180,3,5,3,0,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7
181,0,0,0,1,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7
182,5,3,3,2,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7
183,0,0,0,3,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7
184,0,0,0,4,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7
185,3,3,5,5,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7
186,0,0,0,6,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7
187,0,0,0,7,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7
188,0,0,0,8,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7
189,0,0,0,9,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0,5,9,7
190,3,5,5,0,2,0,5,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0
191,0,0,0,1,2,0,5,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0
192,0,0,0,2,2,0,5,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0
193,0,0,0,3,2,0,5,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0
194,0,0,0,4,2,0,5,4,8,5,8,0,1,7,9,8,2,4,7,1,5,2,2,8,7,9,3,6,0,8,6,2,7,0
